year,month,day,hour,minute,solar_global,solar_direct,solar_diff_down,pressure,temp,kw
2020,2,12,5,0,0.0,0.0,0.0,972.3833599999999,2.2855800000000386,47.867222222222225
2020,2,12,5,15,0.0,0.0,0.0,972.363695,2.23181500000004,47.867222222222225
2020,2,12,5,30,0.0,0.0,0.0,972.3440299999999,2.1780500000000416,47.867222222222225
2020,2,12,5,45,0.0,0.0,0.0,972.324365,2.124285000000043,47.867222222222225
2020,2,12,6,0,0.0,0.0,0.0,972.3047,2.0705200000000445,47.867222222222225
2020,2,12,6,15,0.0725708035,0.0,0.0725708035,972.4257125,2.0171600000000325,47.867222222222225
2020,2,12,6,30,0.145141607,0.0,0.145141607,972.546725,1.9638000000000204,47.867222222222225
2020,2,12,6,45,0.2177124105,0.0,0.2177124105,972.6677374999999,1.9104400000000084,47.867222222222225
2020,2,12,7,0,0.290283214,0.0,0.290283214,972.78875,1.8570799999999963,47.867222222222225
2020,2,12,7,15,10.313415535499999,0.0,10.313415535499999,972.9861375,1.8674249999999972,47.867222222222225
2020,2,12,7,30,20.336547857,0.0,20.336547857,973.183525,1.8777699999999982,47.867222222222225
2020,2,12,7,45,30.3596801785,0.0,30.3596801785,973.3809125,1.888114999999999,47.867222222222225
2020,2,12,8,0,40.3828125,0.0,40.3828125,973.5783,1.89846,47.867222222222225
2020,2,12,8,15,45.15303993331909,0.00048828125,45.15255165206909,973.7774249999999,1.9527275000000088,47.867222222222225
2020,2,12,8,30,49.923267366638186,0.0009765625,49.922290804138186,973.97655,2.0069950000000176,47.867222222222225
2020,2,12,8,45,54.693494799957286,0.00146484375,54.692029956207286,974.1756750000001,2.0612625000000264,47.867222222222225
2020,2,12,9,0,59.463722233276364,0.001953125,59.461769108276364,974.3747999999999,2.115530000000035,47.867222222222225
2020,2,12,9,15,56.347852117340096,0.001953125,56.345898992340096,974.534975,2.1431100000000356,47.867222222222225
2020,2,12,9,30,53.23198200140382,0.001953125,53.23002887640382,974.69515,2.170690000000036,47.867222222222225
2020,2,12,9,45,50.11611188546755,0.001953125,50.11415876046755,974.855325,2.1982700000000364,47.867222222222225
2020,2,12,10,0,47.00024176953127,0.001953125,46.99828864453127,975.0155,2.2258500000000367,47.867222222222225
2020,2,12,10,15,44.4391568404777,0.001953517174453738,44.437203323303244,975.158725,2.2268125000000367,47.867222222222225
2020,2,12,10,30,41.87807191142411,0.001953909348907476,41.8761180020752,975.30195,2.2277750000000367,47.867222222222225
